epoch,accuracy,loss,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.904347836971283,0.8491564989089966,0.9836907982826233,0.9554553627967834,0.5989013910293579,0.993868350982666
1,0.9074009656906128,0.8382495641708374,0.984000027179718,0.9251577854156494,0.6800605654716492,0.9879170656204224
2,0.9084444642066956,0.8280965685844421,0.9841545820236206,0.8402163982391357,0.9332728385925293,0.9686203598976135
3,0.9115749001502991,0.8182947635650635,0.9851593971252441,0.966636598110199,0.5602296590805054,0.9960324764251709
4,0.9135459065437317,0.8106527924537659,0.9859323501586914,0.9486023187637329,0.5972917079925537,0.9913435578346252
5,0.9145893454551697,0.7985988855361938,0.9868985414505005,0.935978353023529,0.6543920636177063,0.9915239214897156
6,0.9166763424873352,0.7838797569274902,0.987903356552124,0.9520288705825806,0.575495719909668,0.9944093823432922
7,0.9192270636558533,0.7714701294898987,0.9885217547416687,0.9641118049621582,0.5656428337097168,0.9942290186882019
8,0.9213526844978333,0.758523166179657,0.9890627861022949,0.9446347951889038,0.5529624223709106,0.9963931441307068
9,0.9217777848243713,0.750182569026947,0.9895265698432922,0.9422903656959534,0.601240873336792,0.9935076832771301
10,0.9258357286453247,0.7314785122871399,0.9898744225502014,0.9487826824188232,0.5779057145118713,0.9918845891952515
11,0.9310917854309082,0.7181189060211182,0.9914589524269104,0.9807033538818359,0.45459267497062683,0.9978358745574951
12,0.9295072555541992,0.7090347409248352,0.9914589524269104,0.9673579931259155,0.49710848927497864,0.9960324764251709
13,0.9336038827896118,0.6957311034202576,0.9925796985626221,0.8838593363761902,0.754282534122467,0.9857529401779175
14,0.9348405599594116,0.6822279095649719,0.9926956295967102,0.9794409275054932,0.44775158166885376,0.9981966018676758
15,0.9371594190597534,0.6690936088562012,0.9929275512695312,0.9832281470298767,0.4280751049518585,0.9976555705070496
16,0.9408309459686279,0.6546621918678284,0.9940869808197021,0.9794409275054932,0.4392189681529999,0.9967538118362427
17,0.9428019523620605,0.6429443955421448,0.9945120811462402,0.9807033538818359,0.42766207456588745,0.9972948431968689
18,0.9433429837226868,0.6363003253936768,0.9949758648872375,0.9850315451622009,0.40182051062583923,0.9985572695732117
19,0.948676347732544,0.6213155388832092,0.9953623414039612,0.9870153069496155,0.39822936058044434,0.9978358745574951
20,0.9495652318000793,0.6126196980476379,0.995555579662323,0.9868350028991699,0.3947582244873047,0.9985572695732117
21,0.9503381848335266,0.6071048974990845,0.9957101345062256,0.9886384010314941,0.3851058781147003,0.9987375736236572
22,0.9530821442604065,0.6020123958587646,0.9960579872131348,0.9871956706047058,0.38554736971855164,0.9983769059181213
23,0.9526956677436829,0.5978684425354004,0.9970241785049438,0.987736701965332,0.3826768398284912,0.9987375736236572
24,0.9541642665863037,0.5982183814048767,0.996830940246582,0.98899906873703,0.3815540671348572,0.9989179372787476
